id_oferta,id_curso,id_municipio,modalidade_graduacao,turno_graduacao,categoria_administrativa
47973,2402,2702405,Presencial,Matutino,Pública Federal
47974,2001,2702405,Presencial,Noturno,Pública Federal
47975,2001,2702405,Presencial,Integral,Pública Federal
47976,2001,2702405,Presencial,Matutino,Pública Federal
47977,3002,2702405,Presencial,Integral,Pública Federal
47978,3002,2702405,Presencial,Matutino,Pública Federal
47979,3002,2702405,Presencial,Noturno,Pública Federal
47980,3002,2702405,Presencial,Vespertino,Pública Federal
47981,6407,1718204,Presencial,Noturno,Pública Federal
47982,3002,2202208,Presencial,Noturno,Pública Estadual
47983,3002,2202208,Presencial,Matutino,Pública Estadual
47984,3002,2202208,Presencial,Integral,Pública Estadual
47985,1602,1400100,Presencial,Integral,Pública Federal
47986,1602,1400100,Presencial,Vespertino,Pública Federal
47987,2402,2203909,Presencial,Noturno,Pública Estadual
47988,2402,2203909,Presencial,Integral,Pública Estadual
47989,2402,2203909,Presencial,Matutino,Pública Estadual
47990,2402,2203909,Presencial,Vespertino,Pública Estadual
47991,72,3516200,Presencial,Matutino,Pública Estadual
47992,72,3516200,Presencial,Noturno,Pública Estadual
47993,72,3516200,Presencial,Vespertino,Pública Estadual
47994,72,3516200,Presencial,Integral,Pública Estadual
47995,702,2304400,EAD,Noturno,Pública Estadual
47996,702,2304400,EAD,Integral,Pública Estadual
47997,702,2304400,EAD,Matutino,Pública Estadual
47998,2402,2207702,Presencial,Integral,Pública Estadual
47999,2402,2207702,Presencial,Matutino,Pública Estadual
48000,2402,2207702,Presencial,Noturno,Pública Estadual
48001,1602,4107207,Presencial,Integral,Pública Federal
48002,1602,4107207,Presencial,Vespertino,Pública Federal
48003,1602,4107207,Presencial,Noturno,Pública Federal
48004,1602,4107207,Presencial,Matutino,Pública Federal
48005,2402,2202208,Presencial,Noturno,Pública Estadual
48006,2402,2202208,Presencial,Matutino,Pública Estadual
48007,2402,2202208,Presencial,Integral,Pública Estadual
48008,2402,2202208,Presencial,Vespertino,Pública Estadual
48009,904,2211001,Presencial,Vespertino,Pública Estadual
48010,904,1702109,Presencial,Integral,Pública Federal
48011,904,1702109,Presencial,Matutino,Pública Federal
48012,904,1702109,Presencial,Noturno,Pública Federal
48013,904,1702109,Presencial,Vespertino,Pública Federal
48014,2001,2306900,EAD,Noturno,Pública Estadual
48015,2001,2306900,EAD,Matutino,Pública Estadual
48016,2001,2306900,EAD,Integral,Pública Estadual
48017,1402,2302503,EAD,Integral,Pública Estadual
48018,1402,2302503,EAD,Noturno,Pública Estadual
48019,1402,2302503,EAD,Matutino,Pública Estadual
48020,1502,2308104,EAD,Noturno,Pública Estadual
48021,1502,2308104,EAD,Integral,Pública Estadual
48022,1502,2308104,EAD,Matutino,Pública Estadual
48023,1502,2308104,EAD,Vespertino,Pública Estadual
48024,1602,2304400,EAD,Vespertino,Pública Estadual
48025,1602,2304400,EAD,Noturno,Pública Estadual
48026,1602,2304400,EAD,Integral,Pública Estadual
48027,1602,2304400,EAD,Matutino,Pública Estadual
48028,72,2304400,Presencial,Vespertino,Privada com fins lucrativos
48029,72,3550308,EAD,Noturno,Privada com fins lucrativos
48030,72,3550308,EAD,Integral,Privada com fins lucrativos
48031,72,3550308,EAD,Matutino,Privada com fins lucrativos
48032,72,3550308,EAD,Vespertino,Privada com fins lucrativos
48033,2501,2611606,EAD,Noturno,Pública Federal
48034,2501,2611606,EAD,Integral,Pública Federal
48035,2001,2700300,Presencial,Noturno,Pública Federal
48036,2001,2700300,Presencial,Vespertino,Pública Federal
48037,2001,2700300,Presencial,Matutino,Pública Federal
48038,2001,2700300,Presencial,Integral,Pública Federal
48039,904,2700300,Presencial,Noturno,Pública Federal
48040,904,2700300,Presencial,Matutino,Pública Federal
48041,904,2700300,Presencial,Integral,Pública Federal
